Row ID,Date,Category,YearMonth,Sales
158,01/2015,Furniture,2015-01,261.96
245,01/2015,Furniture,2015-01,731.94
246,01/2015,Office Supplies,2015-01,14.62
247,01/2015,Office Supplies,2015-01,957.5775
248,01/2015,Office Supplies,2015-01,22.368
249,01/2015,Office Supplies,2015-01,48.86
307,01/2015,Office Supplies,2015-01,7.28
308,01/2015,Office Supplies,2015-01,907.152
541,01/2015,Technology,2015-01,18.504
716,01/2015,Office Supplies,2015-01,114.9
764,01/2015,Office Supplies,2015-01,1706.184
765,01/2015,Office Supplies,2015-01,911.424
766,01/2015,Technology,2015-01,15.552
767,01/2015,Office Supplies,2015-01,407.976
768,01/2015,Office Supplies,2015-01,68.81
806,01/2015,Office Supplies,2015-01,2.544
807,01/2015,Technology,2015-01,665.88
971,01/2015,Furniture,2015-01,55.5
972,01/2015,Technology,2015-01,8.56
973,01/2015,Office Supplies,2015-01,213.48
974,01/2015,Office Supplies,2015-01,22.72
1122,01/2015,Technology,2015-01,19.46
1123,01/2015,Office Supplies,2015-01,60.34
1124,01/2015,Furniture,2015-01,71.372
1125,01/2015,Office Supplies,2015-01,1044.63
1126,01/2015,Office Supplies,2015-01,11.648
1127,01/2015,Furniture,2015-01,90.57
1162,01/2015,Office Supplies,2015-01,3083.43
1319,01/2015,Technology,2015-01,9.618
1320,01/2015,Office Supplies,2015-01,124.2
1373,01/2015,Office Supplies,2015-01,3.264
1374,01/2015,Office Supplies,2015-01,86.304
1792,01/2015,Furniture,2015-01,6.858
1793,01/2015,Office Supplies,2015-01,15.76
1838,01/2015,Office Supplies,2015-01,29.472
1839,01/2015,Furniture,2015-01,1097.544
1840,01/2015,Office Supplies,2015-01,190.92
1841,01/2015,Office Supplies,2015-01,113.328
1914,01/2015,Technology,2015-01,532.3992
2076,01/2015,Furniture,2015-01,212.058
2173,01/2015,Office Supplies,2015-01,371.168
2201,01/2015,Furniture,2015-01,147.168
2202,01/2015,Technology,2015-01,77.88
2411,01/2015,Office Supplies,2015-01,95.616
2579,01/2015,Furniture,2015-01,45.98
2580,01/2015,Office Supplies,2015-01,17.46
2581,01/2015,Office Supplies,2015-01,211.96
2582,01/2015,Office Supplies,2015-01,45
2583,01/2015,Technology,2015-01,21.8
2584,01/2015,Furniture,2015-01,38.22
2585,01/2015,Technology,2015-01,75.18
2832,01/2015,Office Supplies,2015-01,6.16
2833,01/2015,Technology,2015-01,89.99
2979,01/2015,Furniture,2015-01,15.26
3084,01/2015,Office Supplies,2015-01,1029.95
3194,01/2015,Office Supplies,2015-01,208.56
3195,01/2015,Office Supplies,2015-01,32.4
3199,01/2015,Technology,2015-01,319.41
3366,01/2015,Furniture,2015-01,14.56
3795,01/2015,Office Supplies,2015-01,30
3796,01/2015,Furniture,2015-01,48.48
3797,01/2015,Office Supplies,2015-01,1.68
4066,01/2015,Office Supplies,2015-01,13.98
4067,01/2015,Office Supplies,2015-01,25.824
4068,01/2015,Office Supplies,2015-01,146.73
4069,01/2015,Technology,2015-01,79.76
4159,01/2015,Office Supplies,2015-01,213.115
4492,01/2015,Technology,2015-01,1113.024
4493,01/2015,Furniture,2015-01,167.968
4494,01/2015,Office Supplies,2015-01,75.88
4495,01/2015,Furniture,2015-01,4.616
4828,01/2015,Office Supplies,2015-01,19.05
4829,01/2015,Office Supplies,2015-01,831.936
4905,01/2015,Furniture,2015-01,97.04
4938,01/2015,Office Supplies,2015-01,72.784
4939,01/2015,Furniture,2015-01,1.248
4940,01/2015,Office Supplies,2015-01,9.708
5365,01/2015,Office Supplies,2015-01,27.24
5463,01/2015,Office Supplies,2015-01,19.3
5464,01/2015,Office Supplies,2015-01,208.16
5465,01/2015,Office Supplies,2015-01,16.74
5466,01/2015,Furniture,2015-01,14.9
5714,01/2015,Technology,2015-01,21.39
5737,01/2015,Office Supplies,2015-01,200.984
5738,01/2015,Furniture,2015-01,230.376
5896,01/2015,Office Supplies,2015-01,301.96
5897,01/2015,Office Supplies,2015-01,19.99
6327,01/2015,Office Supplies,2015-01,6.16
6328,01/2015,Furniture,2015-01,158.368
6329,01/2015,Office Supplies,2015-01,20.1
6330,01/2015,Office Supplies,2015-01,73.584
6331,01/2015,Office Supplies,2015-01,6.48
6332,01/2015,Office Supplies,2015-01,12.96
6333,01/2015,Furniture,2015-01,53.34
6334,01/2015,Office Supplies,2015-01,32.96
6388,01/2015,Office Supplies,2015-01,5.682
6389,01/2015,Office Supplies,2015-01,96.53
6475,01/2015,Furniture,2015-01,51.312
6548,01/2015,Furniture,2015-01,77.88
6549,01/2015,Office Supplies,2015-01,64.624
7121,01/2015,Office Supplies,2015-01,95.976
7559,01/2015,Office Supplies,2015-01,1.788
7560,01/2015,Office Supplies,2015-01,23.92
7561,01/2015,Furniture,2015-01,238.896
7948,01/2015,Office Supplies,2015-01,102.36
7949,01/2015,Furniture,2015-01,36.882
7950,01/2015,Furniture,2015-01,74.112
7951,01/2015,Office Supplies,2015-01,27.992
7954,01/2015,Office Supplies,2015-01,3.304
7955,01/2015,Office Supplies,2015-01,339.96
8004,01/2015,Technology,2015-01,41.96
8005,01/2015,Furniture,2015-01,75.96
8006,01/2015,Furniture,2015-01,27.24
8150,01/2015,Office Supplies,2015-01,40.096
8151,01/2015,Furniture,2015-01,4.72
8242,01/2015,Office Supplies,2015-01,23.976
8243,01/2015,Technology,2015-01,130.464
8310,01/2015,Office Supplies,2015-01,787.53
8311,01/2015,Furniture,2015-01,157.794
8389,01/2015,Office Supplies,2015-01,47.04
8706,01/2015,Office Supplies,2015-01,30.84
9150,01/2015,Office Supplies,2015-01,226.56
9151,01/2015,Office Supplies,2015-01,115.02
9156,01/2015,Office Supplies,2015-01,68.04
9629,01/2015,Office Supplies,2015-01,600.558
9630,01/2015,Office Supplies,2015-01,617.7
708,02/2015,Technology,2015-02,2.388
709,02/2015,Furniture,2015-02,243.992
710,02/2015,Office Supplies,2015-02,81.424
719,02/2015,Office Supplies,2015-02,238.56
720,02/2015,Furniture,2015-02,59.97
1333,02/2015,Office Supplies,2015-02,78.304
1334,02/2015,Office Supplies,2015-02,21.456
1704,02/2015,Office Supplies,2015-02,20.04
2733,02/2015,Technology,2015-02,35.44
2734,02/2015,Office Supplies,2015-02,11.52
2788,02/2015,Furniture,2015-02,4.02
2789,02/2015,Office Supplies,2015-02,76.176
2790,02/2015,Furniture,2015-02,65.88
2883,02/2015,Office Supplies,2015-02,43.12
2925,02/2015,Office Supplies,2015-02,82.8
2926,02/2015,Furniture,2015-02,8.82
3223,02/2015,Office Supplies,2015-02,10.86
3224,02/2015,Office Supplies,2015-02,143.7
3225,02/2015,Technology,2015-02,839.43
3226,02/2015,Office Supplies,2015-02,671.93
3227,02/2015,Office Supplies,2015-02,93.888
3228,02/2015,Technology,2015-02,384.45
3229,02/2015,Technology,2015-02,149.97
3888,02/2015,Office Supplies,2015-02,1951.84
3889,02/2015,Technology,2015-02,171.55
3890,02/2015,Office Supplies,2015-02,157.92
4404,02/2015,Office Supplies,2015-02,203.184
4521,02/2015,Technology,2015-02,58.38
4522,02/2015,Furniture,2015-02,105.52
4524,02/2015,Office Supplies,2015-02,80.88
4525,02/2015,Furniture,2015-02,6.63
4876,02/2015,Technology,2015-02,457.568
4930,02/2015,Office Supplies,2015-02,14.62
4931,02/2015,Office Supplies,2015-02,944.93
5029,02/2015,Technology,2015-02,5.98
5467,02/2015,Office Supplies,2015-02,54.384
5512,02/2015,Office Supplies,2015-02,28.4
5513,02/2015,Office Supplies,2015-02,27.68
5683,02/2015,Office Supplies,2015-02,9.936
5684,02/2015,Technology,2015-02,8159.952
5685,02/2015,Office Supplies,2015-02,275.928
5825,02/2015,Office Supplies,2015-02,1740.06
6058,02/2015,Office Supplies,2015-02,32.064
6059,02/2015,Office Supplies,2015-02,177.98
6082,02/2015,Furniture,2015-02,143.976
6173,02/2015,Office Supplies,2015-02,20.94
6174,02/2015,Technology,2015-02,110.96
6175,02/2015,Office Supplies,2015-02,340.144
6228,02/2015,Technology,2015-02,52.448
6252,02/2015,Office Supplies,2015-02,20.16
6502,02/2015,Technology,2015-02,97.264
6503,02/2015,Technology,2015-02,396.802
6504,02/2015,Office Supplies,2015-02,15.88
6530,02/2015,Office Supplies,2015-02,3.28
6531,02/2015,Office Supplies,2015-02,24.816
6600,02/2015,Furniture,2015-02,408.744
6601,02/2015,Office Supplies,2015-02,503.96
6602,02/2015,Furniture,2015-02,149.95
