Row ID,Date,Category,Year-Month
158,01/2015,Furniture,2015-01
245,01/2015,Furniture,2015-01
246,01/2015,Office Supplies,2015-01
247,01/2015,Office Supplies,2015-01
248,01/2015,Office Supplies,2015-01
249,01/2015,Office Supplies,2015-01
307,01/2015,Office Supplies,2015-01
308,01/2015,Office Supplies,2015-01
541,01/2015,Technology,2015-01
716,01/2015,Office Supplies,2015-01
764,01/2015,Office Supplies,2015-01
765,01/2015,Office Supplies,2015-01
766,01/2015,Technology,2015-01
767,01/2015,Office Supplies,2015-01
768,01/2015,Office Supplies,2015-01
806,01/2015,Office Supplies,2015-01
807,01/2015,Technology,2015-01
971,01/2015,Furniture,2015-01
972,01/2015,Technology,2015-01
973,01/2015,Office Supplies,2015-01
974,01/2015,Office Supplies,2015-01
1122,01/2015,Technology,2015-01
1123,01/2015,Office Supplies,2015-01
1124,01/2015,Furniture,2015-01
1125,01/2015,Office Supplies,2015-01
1126,01/2015,Office Supplies,2015-01
1127,01/2015,Furniture,2015-01
1162,01/2015,Office Supplies,2015-01
1319,01/2015,Technology,2015-01
1320,01/2015,Office Supplies,2015-01
1373,01/2015,Office Supplies,2015-01
1374,01/2015,Office Supplies,2015-01
1792,01/2015,Furniture,2015-01
1793,01/2015,Office Supplies,2015-01
1838,01/2015,Office Supplies,2015-01
1839,01/2015,Furniture,2015-01
1840,01/2015,Office Supplies,2015-01
1841,01/2015,Office Supplies,2015-01
1914,01/2015,Technology,2015-01
2076,01/2015,Furniture,2015-01
2173,01/2015,Office Supplies,2015-01
2201,01/2015,Furniture,2015-01
2202,01/2015,Technology,2015-01
2411,01/2015,Office Supplies,2015-01
2579,01/2015,Furniture,2015-01
2580,01/2015,Office Supplies,2015-01
2581,01/2015,Office Supplies,2015-01
2582,01/2015,Office Supplies,2015-01
2583,01/2015,Technology,2015-01
2584,01/2015,Furniture,2015-01
2585,01/2015,Technology,2015-01
2832,01/2015,Office Supplies,2015-01
2833,01/2015,Technology,2015-01
2979,01/2015,Furniture,2015-01
3084,01/2015,Office Supplies,2015-01
